Name,Value,Timestamp,Step
"train__roc_auc",0.7485252029671164,1679235743975,1
"train__average_precision",0.5709920055794065,1679235743975,1
"train__accuracy",0.7317415730337079,1679235743975,1
"train__precision",0.6120218579234973,1679235743975,1
"train__recall",0.8205128205128205,1679235743975,1
"train__f1",0.701095461658842,1679235743975,1
"test__roc_auc",0.7148880105401845,1679235743988,1
"test__average_precision",0.5363938142660514,1679235743988,1
"test__accuracy",0.6927374301675978,1679235743988,1
"test__precision",0.5714285714285714,1679235743988,1
"test__recall",0.8115942028985508,1679235743988,1
"test__f1",0.6706586826347305,1679235743988,1
